,name,gender,origin,meaning,url
37192,Aveline,Female,English,Variant of medieval given names Avis and Aveline..,https://meaning-of-names.com/english-names/aveline.asp
37193,Averel,Male,England,"derived from averill, fighting boar.",https://meaning-of-names.com/english-names/averel.asp
37194,Avianna,Female,England,modern blend of ava and ana.,https://meaning-of-names.com/english-names/avianna.asp
37195,Aviram,Male,Hebrew,My father is strong; father of heights..,https://meaning-of-names.com/hebrew-names/aviram.asp
37196,Avram,Male,Israel,Variant of Abraham: Father of many..,https://meaning-of-names.com/hebrew-names/avram.asp
37197,Avrum,Male,Israel,"derived from abraham, father of many.",https://meaning-of-names.com/israeli-names/avrum.asp
37198,Axell,Male,Scandinavia,"derived from axel, father of peace.",https://meaning-of-names.com/scandinavian-names/axell.asp
37199,Azania,Male,Hebrew,Variant of Azaniah: God is listening; God listens..,https://meaning-of-names.com/hebrew-names/azania.asp
37200,Azarel,Male,Israel,"derived from azarael, god helps.",https://meaning-of-names.com/israeli-names/azarel.asp
37201,Azeem,Male,Arabia,"derived from azim, defender.",https://meaning-of-names.com/arabian-names/azeem.asp
37202,Azur,Male,Israel,he that assists or is assisted.,https://meaning-of-names.com/israeli-names/azur.asp
37203,Azzarra,Female,Ireland,gods angel whom was sent to earth.,https://meaning-of-names.com/irish-names/azzarra.asp
37204,Baalim,Male,Israel,"idols, masters, false gods.",https://meaning-of-names.com/israeli-names/baalim.asp
37205,Babette,Female,Hebrew,"Variant of Elisabeth: From Elisheba, meaning either oath of God, or God is satisfaction..",https://meaning-of-names.com/hebrew-names/babette.asp
37206,Bahaar,Female,Africa,"derived from bahar, spring.",https://meaning-of-names.com/african-names/bahaar.asp
37207,Bailie,Male,England,"derived from bailey, steward, bailiff.",https://meaning-of-names.com/english-names/bailie.asp
37208,Bainhrydge,Male,Scotland,Lives by the bridge over the stream..,https://meaning-of-names.com/gaelic-names/bainhrydge.asp
37209,Balaraj,Male,Indian,One who possesses strength..,https://meaning-of-names.com/indian-names/balaraj.asp
37210,Baldwinn,Male,Germany,"derived from baldwin, brave friend.",https://meaning-of-names.com/german-names/baldwinn.asp
37211,Balin,Male,England,knights of the round table.,https://meaning-of-names.com/english-names/balin.asp
37212,Banjamino,Male,English,Variant of Benjamin: Right-hand son. Also a variant of Benedict..,https://meaning-of-names.com/english-names/banjamino.asp
37213,Barbie,Female,English,"Diminutive of Barbara: From the Greek barbaros meaning foreign or strange, traveler from a foreign land. In Catholic custom St. Barbara is a protectress against fire and lightning..",https://meaning-of-names.com/english-names/barbie.asp
37214,Bardolph,Male,German,From the Old German Berhtolf meaning bright wolf..,https://meaning-of-names.com/german-names/bardolph.asp
37215,Barklie,Male,English,Variant of Barclay: Birch valley; birch tree meadow..,https://meaning-of-names.com/english-names/barklie.asp
37216,Barnaby,Male,Hebrew,Son of prophecy. Also a variant of Barnabas: Comfort..,https://meaning-of-names.com/hebrew-names/barnaby.asp
37217,Barnhardo,Male,Germany,"derived from bernard, brave.",https://meaning-of-names.com/german-names/barnhardo.asp
37218,Barrclay,Male,English,Variant of Barclay: Birch valley; birch tree meadow..,https://meaning-of-names.com/english-names/barrclay.asp
37219,Bartel,Male,English,Diminutive of Bartholomew: Son of a farmer; from the barley farm..,https://meaning-of-names.com/english-names/bartel.asp
37220,Bartholomew,Male,Hebrew,"Ploughman. Son of Talmai (Talmai is a variant of Tolmai, meaning abounding in furrows.) Famous bearer: St Bartholomew was an apostle of Jesus Christ..",https://meaning-of-names.com/hebrew-names/bartholomew.asp
37221,Bartley,Male,Scotland,The birch tree meadow. See also Berkley..,https://meaning-of-names.com/english-names/bartley.asp
37222,Baseem,Male,Africa,"derived from basim, smiling.",https://meaning-of-names.com/african-names/baseem.asp
37223,Basilius,Male,England,"derived from basil, royal, kingly.",https://meaning-of-names.com/english-names/basilius.asp
37224,Bathsuha,Female,Israel,"the seventh daughter, the daughter of satiety.",https://meaning-of-names.com/israeli-names/bathsuha.asp
37225,Bautista,Female,Italy,named for john the baptist.,https://meaning-of-names.com/italian-names/bautista.asp
37226,Bayley,M or F,England,"steward or public official, man in charge.",https://meaning-of-names.com/english-names/bayley.asp
37227,Bazyl,Male,England,"derived from basil, royal, kingly.",https://meaning-of-names.com/english-names/bazyl.asp
37228,Beals,Male,France,"derived from beal, handsome.",https://meaning-of-names.com/french-names/beals.asp
37229,Beaufort,Male,France,from the beautiful fortress.,https://meaning-of-names.com/french-names/beaufort.asp
37230,Bechor,Male,Israel,Variant of Becher: First born..,https://meaning-of-names.com/hebrew-names/bechor.asp
37231,Bedver,Male,Scotland,returns excalibur to the lady of the lake.,https://meaning-of-names.com/scottish-names/bedver.asp
37232,Bel,Female,Spanish,"Diminutive of Belinda: From the Old German Betlindis, which is derived from the word for snake..",https://meaning-of-names.com/german-names/bel.asp
37233,Beli Mawr,Male,Welsh,Legendary brother in law of the Virgin Mary..,https://meaning-of-names.com/welsh-names/beli-mawr.asp
37234,Bella,Female,Spanish,Beautiful. Diminutive of Isabel: Devoted to God. A Spanish variant of Elizabeth..,https://meaning-of-names.com/spanish-names/bella.asp
37235,Belteshazzar,Male,Israel,who lays up treasures in secret.,https://meaning-of-names.com/israeli-names/belteshazzar.asp
37236,Benaya,Male,Israel,"derived from benaiah, god builds.",https://meaning-of-names.com/israeli-names/benaya.asp
37237,Benes,Male,Czech-Republic,czechoslovakian for benedict.,https://meaning-of-names.com/czechian-names/benes.asp
37238,Beniamino,Male,Italian,Variant of Benjamin: Right-hand son. Also a variant of Benedict..,https://meaning-of-names.com/english-names/beniamino.asp
37239,Benjaman,Male,English,Variant of Benjamin: Right-hand son. Also a variant of Benedict..,https://meaning-of-names.com/english-names/benjaman.asp
37240,Benjie,Male,English,Diminutive of Benjamin: Right-hand son..,https://meaning-of-names.com/english-names/benjie.asp
37241,Benn,Male,England,abbreviation of benjamin and benedict.,https://meaning-of-names.com/english-names/benn.asp
37242,Bennett,Male,French,"Variant of Benedict, meaning blessed, from the Old French. Became a common British surname after being introduced to Britian during the Norman Conquest..",https://meaning-of-names.com/french-names/bennett.asp
37243,Benon,Male,England,derived from bert - industrious.,https://meaning-of-names.com/english-names/benon.asp
37244,Bentlea,Female,England,"feminine form of bentley, from the meadow.",https://meaning-of-names.com/english-names/bentlea.asp
37245,Bentley,M or F,England,from the bent grass meadow.,https://meaning-of-names.com/english-names/bentley.asp
37246,Bercnan,Male,Ireland,"derived from bearach, spearlike.",https://meaning-of-names.com/irish-names/bercnan.asp
37247,Berenger,Male,German,Derived rom an Old German compound meaning bear-spear. The name was fairly common in medieval Britain but is rarely used today..,https://meaning-of-names.com/german-names/berenger.asp
37248,Berk,Male,Irish,Variant of Burke: Lives in a fortress..,https://meaning-of-names.com/french-names/berk.asp
37249,Berkeley,Male,Irish,The birch tree meadow. Also see Barclay and Burke..,https://meaning-of-names.com/irish-names/berkeley.asp
37250,Bernadea,Female,French,"Feminine of Bernard, meaning strong as a bear, or bear hard..",https://meaning-of-names.com/french-names/bernadea.asp
37251,Bernadine,Female,German,"Feminine form of Bernard: From an Old German compound meaning bear-hard, or brave as a bear..",https://meaning-of-names.com/german-names/bernadine.asp
37252,Bernarda,Female,French,"Feminine of Bernard, meaning strong as a bear, or bear hard..",https://meaning-of-names.com/french-names/bernarda.asp
37253,Bernardino,Male,Germany,"derived from bernard, brave.",https://meaning-of-names.com/german-names/bernardino.asp
37254,Bernelle,Female,Ireland,"Feminine of Bernard, meaning strong as a bear, or bear hard..",https://meaning-of-names.com/french-names/bernelle.asp
37255,Bernhald,Male,Germany,"derived from bernal, strong bear.",https://meaning-of-names.com/german-names/bernhald.asp
37256,Berniss,Female,French,One who brings victory. Variant of Berenice..,https://meaning-of-names.com/french-names/berniss.asp
37257,Berny,Male,German,Diminutive of Bernard: Brave as a bear..,https://meaning-of-names.com/german-names/berny.asp
37258,Berta,Female,English,Variant of Bertha: From Old English beorht meaning bright. In use since the Norman Conquest. In World War I a German howitzer was nicknamed Big Bertha..,https://meaning-of-names.com/english-names/berta.asp
37259,Berthoud,Male,Germany,"derived from berthold, bright strength.",https://meaning-of-names.com/german-names/berthoud.asp
37260,Bertin,Male,Spanish,Variant of Berton: Good friend. Famous Bearer: Canadian singer/songwriter Burton Cummings..,https://meaning-of-names.com/spanish-names/bertin.asp
37261,Bertolde,Male,German,Variant of Berthold: Bright strength..,https://meaning-of-names.com/german-names/bertolde.asp
37262,Bertrand,Male,German,"intelligent, glorious raven.",https://meaning-of-names.com/french-names/bertrand.asp
37263,Berwyn,Male,Welsh,Variant of Berwin: Harvest-time friend..,https://meaning-of-names.com/english-names/berwyn.asp
37264,Berwynne,Male,England,"derived from berwin, harvest-time friend.",https://meaning-of-names.com/english-names/berwynne.asp
37265,Bessie,Female,Hebrew,"Diminutive of Elizabeth, meaning my god is bountiful, or god of plenty, used since the 16th century. Sometimes used as an independent name..",https://meaning-of-names.com/english-names/bessie.asp
37266,Beta,Female,Hebrew,"Variant of Elisabeth: From Elisheba, meaning either oath of God, or God is satisfaction..",https://meaning-of-names.com/hebrew-names/beta.asp
37267,Bethanee,Female,Hebrew,Variant of Bethany - a village near Jerusalem where Jesus visited Mary; Martha and Lazarus..,https://meaning-of-names.com/hebrew-names/bethanee.asp
37268,Bethanna,Female,Arabia,from the house of gods grace.,https://meaning-of-names.com/arabian-names/bethanna.asp
37269,Bethell,Male,Israel,house of god from a biblical place name.,https://meaning-of-names.com/israeli-names/bethell.asp
37270,Betserai,Male,Africa,zimbabwean name meaning help.,https://meaning-of-names.com/african-names/betserai.asp
37271,Bette,Female,Hebrew,"Diminutive of Elisabeth or Elizabeth, from Elisheba, meaning either oath of God, or God is satisfaction. Also a diminutive of Bethia (daughter or worshipper of God), and of Bethany, a New Testament village near Jerusalem..",https://meaning-of-names.com/hebrew-names/bette.asp
37272,Bettrys,Female,Welsh,"The Welsh form of the Latin Beatrix, meaning brings joy..",https://meaning-of-names.com/welsh-names/bettrys.asp
37273,Beulah,Female,Hebrew,"Married, to marry, claimed as a wife. This Old Testament place name became common in English-speaking countries after the Reformation. Famous references - in the Bible Beulah is a name symbolic of the heavenly Zion..",https://meaning-of-names.com/hebrew-names/beulah.asp
37274,Bevis,Male,French,Handsome face. Also from Beauvais..,https://meaning-of-names.com/french-names/bevis.asp
37275,Bhaga,Male,India,uncertain whether god of love or luck.,https://meaning-of-names.com/indian-names/bhaga.asp
37276,Bhaswar,Male,India,"derived from bhasvah, light.",https://meaning-of-names.com/indian-names/bhaswar.asp
37277,Bhoja,Male,India,the name of a hindu king in the 11th century.,https://meaning-of-names.com/indian-names/bhoja.asp
37278,Bidkar,Female,Israel,in compunction or sharp pain.,https://meaning-of-names.com/israeli-names/bidkar.asp
37279,Bill,Male,German,Diminutive of William: Will-helmet. Famous Bearers: poet and playwright William Shakespeare (1564-1616) and William Wordsworth (1770-1850)..,https://meaning-of-names.com/german-names/bill.asp
37280,Bina,Female,English,"Originally a diminutive used for names ending in -bina, like Albina, Columbina, and Robina, now frequently used as an independent name..",https://meaning-of-names.com/english-names/bina.asp
37281,Birdie,Female,England,"contemporary name meaning little bird, birdlike.",https://meaning-of-names.com/english-names/birdie.asp
37282,Birgit,Female,Danish,A variation of the name Bridget..,https://meaning-of-names.com/danish-names/birgit.asp
37283,Birk,Male,French,Variant of Burke: Lives in a fortress..,https://meaning-of-names.com/french-names/birk.asp
37284,Birkett,Male,England,lives at the birch headland.,https://meaning-of-names.com/english-names/birkett.asp
37285,Birkie,Male,England,"derived from birkey, birch island.",https://meaning-of-names.com/english-names/birkie.asp
37286,Birley,Male,England,from the cattle shed on the meadow.,https://meaning-of-names.com/english-names/birley.asp
37287,Birny,Male,English,Variant of Birney: Small river or stream with an island..,https://meaning-of-names.com/english-names/birny.asp
37288,Blaike,Male,England,"derived from blake, light, dark.",https://meaning-of-names.com/english-names/blaike.asp
37289,Blakelee,Male,English,Variant of Blakely: From the light meadow; from the dark meadow..,https://meaning-of-names.com/english-names/blakelee.asp
37290,Blayr,Male,England,"derived from blair, flatland.",https://meaning-of-names.com/english-names/blayr.asp
37291,Blodwen,Female,Ireland,"white flower, or blessed flower.",https://meaning-of-names.com/irish-names/blodwen.asp
37292,Blondene,Female,French,Fair-haired; blonde. Variant of the Spanish Blandina meaning flattering..,https://meaning-of-names.com/french-names/blondene.asp
37293,Bobbi,Female,England,modern for roberta and barbara.,https://meaning-of-names.com/english-names/bobbi.asp
37294,Bodicea,Female,Ireland,a queen of the iceni victory.,https://meaning-of-names.com/irish-names/bodicea.asp
37295,Bodine,Male,Scandinavia,derived from boden a shelter.,https://meaning-of-names.com/scandinavian-names/bodine.asp
37296,Bogey,Male,French,Diminutive of Bogart: Bow strength. Famous Bearer: late U.S. film star Humphrey Bogart..,https://meaning-of-names.com/french-names/bogey.asp
37297,Bogy,Male,French,Diminutive of Bogart: Bow strength. Famous Bearer: late U.S. film star Humphrey Bogart..,https://meaning-of-names.com/french-names/bogy.asp
37298,Boise,Male,France,"derived from boyce, forest.",https://meaning-of-names.com/french-names/boise.asp
37299,Bondon,Male,England,"derived from bond, man of the land.",https://meaning-of-names.com/english-names/bondon.asp
37300,Bonnibelle,Female,Scottish,From the French bon meaning good. In Scottish usage bonnie means pretty or charming..,https://meaning-of-names.com/scottish-names/bonnibelle.asp
37301,Bonny-jean,Female,Scottish,From the French bon meaning good. In Scottish usage bonnie means pretty or charming..,https://meaning-of-names.com/scottish-names/bonny-jean.asp
37302,Borachio,Male,England,much ado about nothing follower of don john.,https://meaning-of-names.com/english-names/borachio.asp
37303,Borhala,Female,Hungary,hungarian form of barbara meaning stranger.,https://meaning-of-names.com/hungarian-names/borhala.asp
37304,Bornbazine,Male,Native American,Variant of Abornazine: Abnaki word for keeper of the flame..,https://meaning-of-names.com/native-american-names/bornbazine.asp
37305,Bóthilda,Female,Danish,Remedy in battle. A name common in the Viking era..,https://meaning-of-names.com/danish-names/bthilda.asp
37306,Botulf,Male,German,"Derived from the Old German word for wolf. Boston was named after a 7th-century saint, as Botulfs stone..",https://meaning-of-names.com/german-names/botulf.asp
37307,Bovrek,Male,Czech-Republic,"derived from borivoj, great soldier.",https://meaning-of-names.com/czechian-names/bovrek.asp
37308,Bow,Male,Scotland,Diminutive of Bowen: Small son..,https://meaning-of-names.com/gaelic-names/bow.asp
37309,Bowie,Male,Gaelic,Blond. Famous Bearer: British pop star David Bowie..,https://meaning-of-names.com/gaelic-names/bowie.asp
37310,Braddford,Male,England,"derived from bradford, broad stream.",https://meaning-of-names.com/english-names/braddford.asp
37311,Bradlie,Male,English,Variant of Bradley: Broad clearing in the wood. From a surname and place name based on the Old English words for broad clearing and broad wood. Famous Bearer: Movie star Brad (Bradley) Pitt..,https://meaning-of-names.com/english-names/bradlie.asp
37312,Bram,Male,Scottish,Diminutive of Abraham: Father of a multitude. In Genesis the Old Testament patriarch Abrams name was changed to Abraham when it was revealed he would be father of the Hebrew nation. Further popularized by 19th century US president Abraham Lincoln..,https://meaning-of-names.com/hebrew-names/bram.asp
37313,Bramwell,Male,England,from the bramble bush spring.,https://meaning-of-names.com/english-names/bramwell.asp
37314,Brandeis,Male,Germany,dwells on a burned clearing.,https://meaning-of-names.com/german-names/brandeis.asp
37315,Brandi,Female,Italian,Italian surname form of Brand meaning fiery beacon..,https://meaning-of-names.com/italian-names/brandi.asp
37316,Brandilyn,Female,England,variation of the beverage brandy used as a given name.,https://meaning-of-names.com/english-names/brandilyn.asp
37317,Brandyce,Female,England,the beverage brandy used as a given name.,https://meaning-of-names.com/english-names/brandyce.asp
37318,Branik,Male,Czech-Republic,"derived from bronislav, glorious armor.",https://meaning-of-names.com/czechian-names/branik.asp
37319,Branwel,Male,England,"derived from bramwell, place name in britain.",https://meaning-of-names.com/english-names/branwel.asp
37320,Brathach,Male,Welsh,Legendary son of Gwawrddur..,https://meaning-of-names.com/welsh-names/brathach.asp
37321,Brenda,Female,Scottish,"Feminine form of Brendan: Prince, little raven, or beacon on the hill. Some scholars believe Brendan means stinking hair..",https://meaning-of-names.com/irish-names/brenda.asp
37322,Brendt,Male,English,Hilltop. Variant of Brent..,https://meaning-of-names.com/english-names/brendt.asp
37323,Brennon,Male,Ireland,prince variant of brendan.,https://meaning-of-names.com/irish-names/brennon.asp
37324,Brentley,Male,English,Hilltop. Variant of Brent..,https://meaning-of-names.com/celtic-names/brentley.asp
37325,Brenton,Male,Celtic,Hilltop. Variant of Brent..,https://meaning-of-names.com/celtic-names/brenton.asp
37326,Bret,M or F,English,"A native of Brittany: (France) or Britain: (England). Derived from the surname Breton or Briton, Brett and Bret became popular first names after 19th-century US writer Bret Harte. Brett became very popular in Australia in the mid-20th century..",https://meaning-of-names.com/english-names/bret.asp
37327,Bretta,Female,French,Brit. A native of England: (Britain) or France: (Brittany)..,https://meaning-of-names.com/french-names/bretta.asp
37328,Brette,Female,French,Brit. A native of England: (Britain) or France: (Brittany)..,https://meaning-of-names.com/french-names/brette.asp
37329,Brewster,Male,English,One who brews ale. See also Webster..,https://meaning-of-names.com/english-names/brewster.asp
37330,Briana,Female,English,Strong. She ascends. Feminine of Brian..,https://meaning-of-names.com/celtic-names/briana.asp
37331,Brianna,Female,English,Strong. She ascends. Feminine of Brian..,https://meaning-of-names.com/celtic-names/brianna.asp
37332,Brianne,Female,English,Strong. She ascends. Feminine of Brian..,https://meaning-of-names.com/celtic-names/brianne.asp
37333,Briano,Male,Celtic,Variant of Brian: Brave; Virtuous. Famous Bearers: Canadian singer Brian Adams and British singer Bryan Ferry..,https://meaning-of-names.com/celtic-names/briano.asp
37334,Brice,Male,Celtic,"Swift. Famous bearer: St Brice, sometimes called St. Britius, was a 5th century Bishop of Tours..",https://meaning-of-names.com/celtic-names/brice.asp
37335,Bridgely,Male,England,from the meadow near the bridge.,https://meaning-of-names.com/english-names/bridgely.asp
37336,Brielle,Female,Irish,Hill. Also variant of Brina and Breanna..,https://meaning-of-names.com/irish-names/brielle.asp
37337,Brienne,Female,English,Strong. She ascends. Feminine of Brian..,https://meaning-of-names.com/celtic-names/brienne.asp
37338,Brigit,Female,Irish,"Derived from the Irish name Brighid, meaning the high one or strength. Brighid was a mythological Celtic goddess of fire and poetry. This name has been used regularly in the British Isles since the 17th century.Strength..",https://meaning-of-names.com/irish-names/brigit.asp
37339,Brion,Male,Celtic,Variant of Brian: Brave; Virtuous..,https://meaning-of-names.com/celtic-names/brion.asp
37340,Brionna,Female,England,the name of a flowering vine used in folk medicine.,https://meaning-of-names.com/english-names/brionna.asp
37341,Brisia,Female,Spain,from briseis the woman achilles loved in homers iliad.,https://meaning-of-names.com/spanish-names/brisia.asp
37342,Britania,Female,Latin-America,a poetic name for great britain.,https://meaning-of-names.com/latin-american-names/britania.asp
37343,Brittan,Male,England,"brit a native of brittany, (france) or britain, (england).",https://meaning-of-names.com/english-names/brittan.asp
37344,Brittanie,Female,Latin-America,a poetic name for great britain.,https://meaning-of-names.com/latin-american-names/brittanie.asp
37345,Briza,Female,Spanish,"From Briseis, the woman Achilles loved in Homers Iliad..",https://meaning-of-names.com/spanish-names/briza.asp
37346,Broderick,Male,English,From the broad ridge. Derived from a surname meaning son of Roderick; now occasionally used as a first name. Famous bearer: American actor Broderick Crawford..,https://meaning-of-names.com/english-names/broderick.asp
37347,Brolle,Male,Scandinavia,"diminutive of broder, brother.",https://meaning-of-names.com/scandinavian-names/brolle.asp
37348,Bromly,Male,England,from the broom covered meadow.,https://meaning-of-names.com/english-names/bromly.asp
37349,Bronnson,Male,England,"derived from bronson, son of a dark man.",https://meaning-of-names.com/english-names/bronnson.asp
37350,Bronsson,Male,England,"derived from bronson, son of a dark man.",https://meaning-of-names.com/english-names/bronsson.asp
37351,Brookes,Male,England,"derived from brook, brook, stream.",https://meaning-of-names.com/english-names/brookes.asp
37352,Bruce,Male,Scottish,Thick brush. Surname since medieval times; now a common given name. Folklore tale of 14th century Robert King of Scotland: (the Bruce) who learned the value of perseverance from watching a spider spin a web..,https://meaning-of-names.com/english-names/bruce.asp
37353,Brunetta,Female,German,Feminine form of Bruno: From the Old German brun meaning brown..,https://meaning-of-names.com/german-names/brunetta.asp
37354,Bryana,Female,Celtic,Strong. She ascends. Feminine of Brian..,https://meaning-of-names.com/celtic-names/bryana.asp
37355,Bryanna,Female,English,She ascends. Feminine of Brian..,https://meaning-of-names.com/english-names/bryanna.asp
37356,Bryce,Male,Scottish,Speckled. Surname form of Brice..,https://meaning-of-names.com/scottish-names/bryce.asp
37357,Brynley,Male,England,"derived from brinley, burnt wood.",https://meaning-of-names.com/english-names/brynley.asp
37358,Buckey,Male,England,"diminutive of buck, m deer.",https://meaning-of-names.com/english-names/buckey.asp
37359,Buckly,Male,England,"derived from buckley, deer-grazing meadow.",https://meaning-of-names.com/english-names/buckly.asp
37360,Buddey,Male,English,Variant of Buddy: Friend. Famous Bearer: American early rock star who died young in a tragic plane crash..,https://meaning-of-names.com/english-names/buddey.asp
37361,Buddy,Male,English,Friend. Famous Bearer: American early rock star who died young in a tragic plane crash..,https://meaning-of-names.com/english-names/buddy.asp
37362,Buhaan,Male,Africa,"derived from burhan, proof evidence.",https://meaning-of-names.com/african-names/buhaan.asp
37363,Burdett,Male,French,surname used as a given name.,https://meaning-of-names.com/english-names/burdett.asp
37364,Burg,Male,Germany,"derived from berg, mountain.",https://meaning-of-names.com/german-names/burg.asp
37365,Burgh,Male,Germany,"derived from berg, mountain.",https://meaning-of-names.com/german-names/burgh.asp
37366,Burke,Male,English,Fortified hill. See also Berkley..,https://meaning-of-names.com/english-names/burke.asp
37367,Burkhart,Male,English,Variant of Burchard: Strong castle..,https://meaning-of-names.com/english-names/burkhart.asp
37368,Burlie,Male,England,"derived from burleigh, british place name.",https://meaning-of-names.com/english-names/burlie.asp
37369,Burnell,Male,German,derived from bernard strong as a bear.,https://meaning-of-names.com/english-names/burnell.asp
37370,Burty,Male,England,"derived from bert, bright light.",https://meaning-of-names.com/english-names/burty.asp
37371,Butch,Male,English,Diminutive of Butcher: Butcher..,https://meaning-of-names.com/english-names/butch.asp
37372,Byford,Male,England,lives at the river crossing.,https://meaning-of-names.com/english-names/byford.asp
37373,Byrleigh,Male,England,"derived from burleigh, british place name.",https://meaning-of-names.com/english-names/byrleigh.asp
37374,Cable,Male,English,Ropemaker. An English surname..,https://meaning-of-names.com/english-names/cable.asp
37375,Cadabyr,Male,England,from the warriors settlement.,https://meaning-of-names.com/english-names/cadabyr.asp
37376,Cadee,Female,Irish,Variant of Cady meaning a rhythmic flow of sounds..,https://meaning-of-names.com/english-names/cadee.asp
37377,Cadellin,Male,Welsh,Legendary father of Gweir..,https://meaning-of-names.com/welsh-names/cadellin.asp
37378,Cadi,Female,Irish,variation of cady meaning a rhythmic flow of sounds.,https://meaning-of-names.com/english-names/cadi.asp
37379,Cadwaladr,Male,Welsh,Battle leader. This name dates back to the 7th century. More commonly used as a surname than a first name in the present day..,https://meaning-of-names.com/welsh-names/cadwaladr.asp
37380,Cady,Female,Irish,Hillock. A surname or given name meaning a rhythmic flow of sounds..,https://meaning-of-names.com/english-names/cady.asp
37381,Caelin,Male,Ireland,"derived from caelan, powerful warrior.",https://meaning-of-names.com/irish-names/caelin.asp
37382,Cai,Male,Welsh,"A diminutive of Cajus, frequently used as an independent name in Wales. Rejoicer..",https://meaning-of-names.com/welsh-names/cai.asp
37383,Caileigh,Female,Gaelic,Slender. Variant of Caley or Cailley: (French) from the forest..,https://meaning-of-names.com/gaelic-names/caileigh.asp
37384,Caindale,Male,England,from the clear river valley.,https://meaning-of-names.com/english-names/caindale.asp
37385,Cait,Female,Scottish,variation of katherine meaning pure.,https://meaning-of-names.com/irish-names/cait.asp
37386,Caitlin,Female,Gaelic,Pure. An Irish Gaelic variant of Catherine from the Old French form of the name..,https://meaning-of-names.com/gaelic-names/caitlin.asp
37387,Caitrin,Female,Scottish,"Variant of Katherine, meaning pure..",https://meaning-of-names.com/scottish-names/caitrin.asp
37388,Cal,Male,English,Bald; Abbreviation of names beginning with Cal-..,https://meaning-of-names.com/english-names/cal.asp
37389,Caledvwich,Male,England,legendary excalibur king arthurs sword.,https://meaning-of-names.com/english-names/caledvwich.asp
37390,Caliban,Male,England,the tempest a savage and deformed slave.,https://meaning-of-names.com/english-names/caliban.asp
37391,Calibum,Male,Scotland,various names for arthurs sword.,https://meaning-of-names.com/scottish-names/calibum.asp
37392,Calinda,Female,England,contemporary blend of the italian/greek calandra with linda.,https://meaning-of-names.com/english-names/calinda.asp
37393,Calli,Female,Irish,Variant of Cayley meaning from the forest..,https://meaning-of-names.com/gaelic-names/calli.asp
37394,Callum,Male,Gaelic,Dove. Can also be a variant of Malcolm: Servant/disciple of Columba..,https://meaning-of-names.com/gaelic-names/callum.asp
37395,Calvin,Male,English,Bald. Famous Bearers: Early 20th century American President Coolidge; fashion designer Calvin Klein..,https://meaning-of-names.com/english-names/calvin.asp
37396,Camedyr,Male,Welsh,Legendary son of Govynyon..,https://meaning-of-names.com/welsh-names/camedyr.asp
37397,Cameron,M or F,Scottish,Crooked nose. Nickname of a Highland chieftain with a crooked nose..,https://meaning-of-names.com/celtic-names/cameron.asp
37398,Camilla,Female,French,Free-born; noble. Variant of Camilla..,https://meaning-of-names.com/french-names/camilla.asp
37399,Cammi,Female,Latin-America,Free-born; noble. Variant of Camilla who was the swift-running warrior maid in Virgils Aeneid..,https://meaning-of-names.com/french-names/cammi.asp
37400,Camron,Male,Scotland,Variant of Cameron: Bent nose; crooked river..,https://meaning-of-names.com/gaelic-names/camron.asp
37401,Candace,Female,Hebrew,Famous bearer: American actress Candice Bergen..,https://meaning-of-names.com/hebrew-names/candace.asp
37402,Candide,Female,French,Bright; glowing white. Also sweet..,https://meaning-of-names.com/french-names/candide.asp
37403,Candy,Female,Hebrew,Diminutive of Candace: Famous bearer: American actress Candice Bergen..,https://meaning-of-names.com/hebrew-names/candy.asp
37404,Canon,Male,France,"derived from cannon, church official.",https://meaning-of-names.com/french-names/canon.asp
37405,Caphis,Male,England,the life of timon of athens timons servant.,https://meaning-of-names.com/english-names/caphis.asp
37406,Cara,Female,Italian,Feminine variant of Charles: manly..,https://meaning-of-names.com/english-names/cara.asp
37407,Caradog,Male,Welsh,"derived from caradoc, affection, amiable.",https://meaning-of-names.com/english-names/caradog.asp
37408,Caree,Female,English,Abbreviation of Carol and Caroline from the masculine Charles meaning manly..,https://meaning-of-names.com/english-names/caree.asp
37409,CarIes,Male,Spanish,"The Spanish form of Charles; meaning strong or manly, occasionally used in English-speaking countries..",https://meaning-of-names.com/spanish-names/caries.asp
37410,Carita,Female,Latin-America,"Variant of Cara: Dear, beloved. From the feminine form of the Italian cara or the Latin carus..",https://meaning-of-names.com/italian-names/carita.asp
37411,Carla,Female,Spanish,"Feminine form of Carl: Variant of the Germanic form of Charles, meaning: a man..",https://meaning-of-names.com/german-names/carla.asp
37412,Carleen,Female,Ireland,feminine form of charles manly.,https://meaning-of-names.com/irish-names/carleen.asp
37413,Carlino,Male,Spanish,Variant of Carlos: Man (Spanish variant of Charles)..,https://meaning-of-names.com/spanish-names/carlino.asp
37414,Carlotta,Female,Spanish,Feminine form of Charles: manly..,https://meaning-of-names.com/spanish-names/carlotta.asp
37415,Carly,Female,German,"Feminine form of Carl: Variant of the Germanic form of Charles, meaning: a man..",https://meaning-of-names.com/german-names/carly.asp
37416,Carmelita,Female,Italian,Variant of Carmel: Garden or vinyard. Famous bearer: the name of a mountain in Isreal. The Carmelite order of mendicant friars was founded in the 12th century on Mount Carmel..,https://meaning-of-names.com/hebrew-names/carmelita.asp
37417,Carmen,Female,Spanish,"Garden. The Spanish form of the Hebrew Carmel. Famous bearer: Bizets opera Carmen, first performed in 1875..",https://meaning-of-names.com/spanish-names/carmen.asp
